date,gross_sales_sar,return_value_sar,sama_calibrated_net_sales_sar,base_net_sales_sar_unscaled,scenario_net_sales_sar,transaction_rows,invoice_count,electronic_invoice_count,unique_observed_customers,new_observed_customers,returning_observed_customers,unique_products,units,average_invoice_value_sar,return_rate_value,sama_weekly_market_index
2023-07-14,89610.7,2863.88,86746.82,83848.86,83848.86,747,67,40,48,5,43,514,8831.0,1294.73,0.031959,0.9162458493059326
2023-07-15,141266.51,1026.98,140239.52,165154.16,165154.16,867,36,22,29,6,23,582,9849.0,3895.54,0.00727,0.9162458493059327
2023-07-16,145161.53,970.9,144190.63,145647.11,145647.11,1132,68,42,50,4,46,690,11926.0,2120.45,0.006688,0.8492644800610609
2023-07-17,145598.09,4032.33,141565.76,133314.99,133314.99,1519,78,48,60,7,53,868,16474.0,1814.95,0.027695,0.8492644800610607
2023-07-18,116619.19,1977.75,114641.44,108750.98,108750.98,1381,61,55,54,4,50,853,12511.0,1879.37,0.016959,0.8492644800610609
2023-07-19,142234.42,4614.46,137619.96,127764.04,127764.04,1322,64,38,57,9,48,752,17161.0,2150.31,0.032443,0.8492644800610609
2023-07-20,86118.51,11533.06,74585.46,73845.69,73845.69,572,56,39,42,2,40,417,10261.0,1331.88,0.133921,0.8492644800610608
2023-07-21,83818.22,531.04,83287.18,75879.7,75879.7,882,47,36,41,5,36,570,8160.0,1772.07,0.006336,0.849264480061061
2023-07-22,193956.33,2360.54,191595.79,169601.13,169601.13,905,60,49,47,6,41,625,100672.0,3193.26,0.01217,0.849264480061061
2023-07-23,187832.84,6073.28,181759.56,184472.34,184472.34,1753,53,37,37,8,29,948,20507.0,3429.43,0.032333,1.0
2023-07-24,112247.42,254.84,111992.58,111037.32,111037.32,1006,49,36,37,11,26,641,8207.0,2285.56,0.00227,1.0
2023-07-25,157352.68,6269.6,151083.07,150714.51,158250.08,1778,113,86,83,4,79,913,18689.0,1337.02,0.039844,1.0
2023-07-26,194857.16,4211.77,190645.39,195668.43,205451.63,1462,65,45,45,5,40,769,18461.0,2933.01,0.021615,1.0
2023-07-27,120990.81,928.69,120062.12,118719.77,124655.45,1039,61,35,51,8,43,621,17360.0,1968.23,0.007676,1.0
2023-07-28,105525.61,1094.32,104431.29,109425.48,114896.97,1013,49,33,38,4,34,683,11240.0,2131.25,0.01037,1.0
2023-07-29,187349.93,2318.26,185031.67,162638.04,162638.04,972,64,46,57,6,51,639,18570.0,2891.12,0.012374,1.0
2023-07-30,224273.55,421.26,223852.28,200890.98,200890.98,1600,59,44,48,8,40,954,22858.0,3794.11,0.001878,1.06271840127331
2023-07-31,178712.6,1952.88,176759.73,173815.61,173815.61,1515,84,60,62,7,55,799,22526.0,2104.28,0.010927,1.06271840127331
2023-08-01,142852.9,548.33,142304.57,134995.48,134995.48,1281,62,47,51,10,41,798,19033.0,2295.24,0.003838,1.0627184012733102
2023-08-02,122414.08,329.45,122084.62,123102.82,123102.82,1361,64,45,53,5,48,779,13903.0,1907.57,0.002691,1.0627184012733102
2023-08-03,137445.68,1424.82,136020.86,117415.29,117415.29,1179,59,43,46,5,41,725,13386.0,2305.44,0.010366,1.0627184012733102
2023-08-04,152000.2,9164.4,142835.8,138030.51,138030.51,1153,72,56,61,6,55,699,20707.0,1983.83,0.060292,1.06271840127331
2023-08-05,170583.13,3894.22,166688.91,166383.3,166383.3,1615,90,67,72,5,67,862,17684.0,1852.1,0.022829,1.0627184012733102
2023-08-06,194574.28,904.25,193670.04,188149.75,188149.75,1642,87,59,68,8,60,842,17643.0,2226.09,0.004647,1.0043455371207064
2023-08-07,83765.26,169.67,83595.59,82036.78,82036.78,991,35,25,29,4,25,673,7318.0,2388.45,0.002025,1.0043455371207062
2023-08-08,84392.81,31.62,84361.18,78782.53,78782.53,800,40,29,36,5,31,483,8763.0,2109.03,0.000375,1.0043455371207064
2023-08-09,186336.41,2625.73,183710.67,179536.74,179536.74,1757,68,55,52,8,44,939,14333.0,2701.63,0.014091,1.0043455371207064
2023-08-10,126453.32,4871.98,121581.35,119784.02,119784.02,1035,81,54,72,3,69,677,13191.0,1501.0,0.038528,1.0043455371207064
2023-08-11,185190.98,3086.71,182104.27,185915.34,185915.34,1622,92,70,78,10,68,860,22197.0,1979.39,0.016668,1.0043455371207064
2023-08-12,202651.84,2128.14,200523.7,199510.37,199510.37,1048,74,48,60,7,53,663,31318.0,2709.78,0.010501,1.0043455371207066
2023-08-13,86663.04,102.93,86560.11,66443.36,66443.36,795,36,26,35,6,29,513,7216.0,2404.45,0.001188,1.008673368864919
2023-08-14,206534.04,1726.4,204807.64,151867.64,151867.64,1566,61,41,45,2,43,862,16347.0,3357.5,0.008359,1.0086733688649192
2023-08-15,208549.03,110.19,208438.84,148384.42,148384.42,1136,55,38,48,5,43,718,15742.0,3789.8,0.000528,1.0086733688649192
2023-08-16,129812.45,1528.49,128283.96,93175.27,93175.27,1072,50,30,44,5,39,691,10315.0,2565.68,0.011775,1.0086733688649192
2023-08-17,185663.03,2707.47,182955.56,131341.67,131341.67,1605,82,59,73,13,60,874,13289.0,2231.17,0.014583,1.0086733688649192
2023-08-18,133300.01,7077.76,126222.25,88851.84,88851.84,1015,49,34,40,4,36,629,10651.0,2575.96,0.053096,1.0086733688649194
2023-08-19,116853.13,52.08,116801.05,84756.73,84756.73,1271,49,29,46,8,38,728,9274.0,2383.69,0.000446,1.008673368864919
2023-08-20,179198.96,1031.93,178167.03,202653.54,202653.54,1956,104,70,68,1,67,993,28428.0,1713.14,0.005759,0.9538853819376966
2023-08-21,107353.79,423.76,106930.03,112510.41,112510.41,1268,63,39,58,10,48,763,11375.0,1697.3,0.003947,0.9538853819376965
2023-08-22,169930.83,1235.85,168694.98,186289.31,186289.31,1379,73,53,60,14,46,815,21613.0,2310.89,0.007273,0.9538853819376966
2023-08-23,136047.28,3178.9,132868.38,143222.27,143222.27,1625,90,63,69,6,63,911,14920.0,1476.32,0.023366,0.9538853819376965
2023-08-24,96915.0,2974.72,93940.28,109449.94,109449.94,1140,75,56,60,10,50,740,12056.0,1252.54,0.030694,0.9538853819376966
2023-08-25,114268.12,90.52,114177.61,124925.91,131171.4,1934,60,43,54,10,44,984,13697.0,1902.96,0.000792,0.9538853819376965
2023-08-26,207704.99,5667.64,202037.34,223172.0,234330.97,1798,85,67,62,10,52,968,25491.0,2376.91,0.027287,0.9538853819376966
2023-08-27,226710.79,4143.49,222567.3,333871.33,350564.89,2434,136,92,104,16,88,1037,37644.0,1636.52,0.018277,1.1610295600910412
2023-08-28,112398.34,3308.43,109089.9,156878.47,164721.99,1448,84,63,40,4,36,686,14845.0,1298.69,0.029435,1.1610295600910407
2023-08-29,142778.37,330.67,142447.7,195603.8,195603.8,1969,88,58,73,15,58,938,21362.0,1618.72,0.002316,1.161029560091041
2023-08-30,180897.43,201.16,180696.27,262877.46,262877.46,1532,63,43,46,8,38,809,28119.0,2868.19,0.001112,1.161029560091041
2023-08-31,85465.76,1378.07,84087.69,116425.88,116425.88,1436,75,50,58,6,52,754,13461.0,1121.17,0.016124,1.161029560091041
2023-09-01,384449.39,18243.12,366206.27,532075.95,532075.95,2278,91,71,68,11,57,1014,128215.0,4024.24,0.047453,1.161029560091041
2023-09-02,169768.98,61581.62,108187.36,178559.35,178559.35,2822,171,119,122,16,106,1247,111111.0,632.67,0.362738,1.161029560091041
2023-09-03,128978.72,1106.64,127872.08,202453.71,202453.71,1878,110,73,88,15,73,970,20796.0,1162.47,0.00858,0.9504571679251748
2023-09-04,164850.2,1981.77,162868.43,246922.69,246922.69,2104,111,83,89,21,68,985,24943.0,1467.28,0.012022,0.9504571679251749
2023-09-05,132053.25,1130.05,130923.19,200378.53,200378.53,1689,83,62,67,14,53,923,22280.0,1577.39,0.008558,0.950457167925175
2023-09-06,133860.07,1291.47,132568.61,208164.19,208164.19,2206,89,57,70,21,49,970,20396.0,1489.53,0.009648,0.9504571679251748
2023-09-07,131662.51,860.68,130801.84,208125.69,208125.69,2094,94,64,79,20,59,1004,23663.0,1391.51,0.006537,0.9504571679251749
2023-09-08,196470.59,4947.08,191523.5,291220.68,291220.68,2705,160,103,133,16,117,1172,35254.0,1197.02,0.02518,0.9504571679251748
2023-09-09,117299.99,624.49,116675.5,165474.26,165474.26,1280,66,47,60,11,49,738,22084.0,1767.81,0.005324,0.9504571679251748
2023-09-10,144523.11,8042.22,136480.9,280343.37,280343.37,3590,142,86,112,20,92,1379,30598.0,961.13,0.055647,0.9386460874810066
2023-09-11,153961.8,1603.51,152358.29,319811.79,319811.79,1995,95,67,74,7,67,1006,41554.0,1603.77,0.010415,0.9386460874810065
2023-09-12,62915.1,304.15,62610.95,124969.59,124969.59,1708,71,42,59,14,45,896,12446.0,881.84,0.004834,0.9386460874810065
2023-09-13,119601.12,1220.23,118380.89,231356.63,231356.63,2456,109,76,94,14,80,1137,25037.0,1086.06,0.010202,0.9386460874810064
2023-09-14,134817.4,1899.36,132918.04,264729.07,264729.07,2450,140,91,116,18,98,1144,30459.0,949.41,0.014088,0.9386460874810063
2023-09-15,139928.67,800.82,139127.85,286033.56,286033.56,2146,95,67,82,15,67,1039,40213.0,1464.5,0.005723,0.9386460874810068
2023-09-16,242036.73,3023.14,239013.59,468848.71,468848.71,2032,113,77,89,24,65,1018,37612.0,2115.16,0.01249,0.9386460874810065
2023-09-17,151773.05,582.14,151190.92,237451.84,237451.84,2251,112,78,81,14,67,1080,22431.0,1349.92,0.003836,0.9120504302826048
2023-09-18,119119.17,930.79,118188.38,179134.07,179134.07,2667,80,64,63,7,56,1122,19166.0,1477.35,0.007814,0.9120504302826048
2023-09-19,139450.52,3968.77,135481.74,215191.92,215191.92,2756,137,90,114,12,102,1204,20074.0,988.92,0.02846,0.9120504302826047
2023-09-20,164784.65,15266.47,149518.18,242180.11,242180.11,2277,89,60,71,10,61,1094,29529.0,1679.98,0.092645,0.9120504302826044
2023-09-21,148831.47,1287.0,147544.47,243049.24,243049.24,2400,115,78,92,16,76,1075,24099.0,1283.0,0.008647,0.9120504302826046
2023-09-22,131611.63,2822.01,128789.62,207312.06,207312.06,2127,114,70,88,15,73,1070,17924.0,1129.73,0.021442,0.9120504302826048
2023-09-23,129943.59,7559.01,122384.58,207126.49,227839.72,2188,120,85,94,13,81,1114,23602.0,1019.87,0.058171,0.9120504302826048
2023-09-24,144549.02,479.06,144069.97,155176.91,155176.91,2313,86,66,74,19,55,1045,15433.0,1675.23,0.003314,1.1432618371769943
2023-09-25,147662.51,2398.24,145264.26,156358.33,164176.35,1894,92,62,77,14,63,1007,14582.0,1578.96,0.016241,1.1432618371769943
2023-09-26,243209.64,2831.09,240378.55,243746.52,255933.35,2496,126,89,107,21,86,1160,26254.0,1907.77,0.011641,1.1432618371769945
2023-09-27,164545.61,297.05,164248.56,174872.62,183616.23,1808,74,52,66,11,55,960,16213.0,2219.58,0.001805,1.1432618371769943
2023-09-28,142824.53,29113.12,113711.41,121431.53,127503.33,1592,77,60,62,12,50,887,17550.0,1476.77,0.203838,1.1432618371769945
2023-09-29,243700.07,9590.09,234109.98,245401.57,245401.57,1928,87,64,65,8,57,970,26058.0,2690.92,0.039352,1.1432618371769945
2023-09-30,153356.96,424.57,152932.39,162965.33,162965.33,2617,88,71,79,10,69,1149,16410.0,1737.87,0.002768,1.1432618371769943
2023-10-01,80969.9,2311.87,78658.03,143082.72,143082.72,2161,69,48,54,8,46,1128,14643.0,1139.97,0.028552,1.01915394480823
2023-10-02,138485.68,10216.46,128269.21,222365.05,222365.05,2279,122,83,105,19,86,1070,25103.0,1051.39,0.073773,1.0191539448082299
2023-10-03,132026.65,3243.98,128782.67,237944.38,237944.38,2020,105,69,88,19,69,1032,24171.0,1226.5,0.024571,1.0191539448082299
2023-10-04,266505.44,4192.55,262312.89,478257.99,478257.99,3609,173,112,137,15,122,1372,60499.0,1516.26,0.015732,1.0191539448082299
2023-10-05,138655.05,1593.16,137061.89,247253.42,247253.42,1934,92,58,69,3,66,1040,22677.0,1489.8,0.01149,1.01915394480823
2023-10-06,92638.69,608.61,92030.08,170328.27,170328.27,2716,90,67,75,9,66,1105,18538.0,1022.56,0.00657,1.01915394480823
2023-10-07,239123.07,1216.17,237906.89,452002.72,452002.72,2578,96,67,80,11,69,1214,32464.0,2478.2,0.005086,1.0191539448082299
2023-10-08,139449.46,13184.71,126264.75,320405.29,320405.29,2830,140,93,106,13,93,1111,38495.0,901.89,0.094548,0.9353403006926747
2023-10-09,166798.04,1108.81,165689.24,429860.99,429860.99,3548,150,108,113,16,97,1482,35289.0,1104.59,0.006648,0.9353403006926744
2023-10-10,135596.52,6687.76,128908.76,336615.23,336615.23,3254,179,110,136,14,122,1292,34922.0,720.16,0.049321,0.9353403006926746
2023-10-11,114151.31,432.78,113718.54,267232.65,267232.65,3026,116,84,86,12,74,1275,23232.0,980.33,0.003791,0.9353403006926747
2023-10-12,63640.87,223.54,63417.33,157356.93,157356.93,2776,94,69,76,13,63,1226,17316.0,674.65,0.003513,0.9353403006926746
2023-10-13,220412.27,391.38,220020.88,563365.7,563365.7,3678,114,86,86,10,76,1414,38024.0,1930.01,0.001776,0.9353403006926748
2023-10-14,162486.14,3069.7,159416.44,379632.29,379632.29,3273,147,96,132,19,113,1371,41929.0,1084.47,0.018892,0.9353403006926744
2023-10-15,135886.87,1142.78,134744.09,273397.89,273397.89,2805,132,93,100,15,85,1270,28620.0,1020.79,0.00841,0.8438635011131731
2023-10-16,120988.72,1223.8,119764.92,237318.45,237318.45,2859,118,84,100,12,88,1211,21581.0,1014.96,0.010115,0.8438635011131732
2023-10-17,124787.98,2424.24,122363.74,245939.92,245939.92,2507,142,93,117,15,102,1137,25473.0,861.72,0.019427,0.8438635011131732
2023-10-18,87231.33,223.6,87007.73,172784.73,172784.73,3150,102,67,90,12,78,1284,18051.0,853.02,0.002563,0.8438635011131731
2023-10-19,112973.83,301.74,112672.09,226656.6,226656.6,3231,100,68,83,10,73,1335,19814.0,1126.72,0.002671,0.8438635011131731
2023-10-20,161499.25,12780.95,148718.3,286439.07,286439.07,3576,149,109,120,20,100,1423,28927.0,998.11,0.079139,0.8438635011131732
2023-10-21,166301.65,9730.36,156571.29,309136.76,309136.76,3357,185,125,141,6,135,1355,31342.0,846.33,0.05851,0.8438635011131731
2023-10-22,165893.3,1460.52,164432.79,386228.1,386228.1,3462,175,120,147,16,131,1241,38158.0,939.62,0.008804,1.0322752231129173
2023-10-23,93835.59,773.87,93061.73,211175.8,211175.8,2547,91,61,74,6,68,1161,17398.0,1022.66,0.008247,1.0322752231129173
2023-10-24,61329.7,612.47,60717.23,144353.0,144353.0,2480,102,73,82,7,75,1132,16452.0,595.27,0.009987,1.0322752231129173
2023-10-25,179215.0,684.49,178530.51,419940.51,440938.48,3900,114,76,90,18,72,1525,40148.0,1566.06,0.003819,1.0322752231129173
2023-10-26,135988.54,10215.46,125773.08,300212.24,315223.06,2363,166,117,139,6,133,973,28638.0,757.67,0.07512,1.0322752231129175
2023-10-27,254408.3,1273.83,253134.48,624367.14,655584.92,6090,132,88,97,6,91,1338,53980.0,1917.69,0.005007,1.032275223112917
2023-10-28,208769.12,5685.45,203083.67,503347.1,528512.62,4128,164,116,116,13,103,932,83098.0,1238.32,0.027233,1.0322752231129175
2023-10-29,156392.54,3439.61,152952.93,474887.1,474887.1,4274,75,54,55,7,48,1135,32854.0,2039.37,0.021993,1.0723750478716458
2023-10-30,103128.83,1018.23,102110.6,333782.3,333782.3,5212,94,65,76,5,71,1148,32436.0,1086.28,0.009873,1.072375047871646
2023-10-31,178881.2,3115.42,175765.78,553963.2,553963.2,7610,120,82,90,6,84,1469,43780.0,1464.71,0.017416,1.072375047871646
2023-11-01,268543.99,1183.77,267360.22,885636.24,885636.24,5714,89,65,69,2,67,1276,50504.0,3004.05,0.004408,1.0723750478716458
2023-11-02,156911.37,3112.83,153798.54,472253.84,472253.84,5182,138,100,112,5,107,1217,46574.0,1114.48,0.019838,1.072375047871646
2023-11-03,170782.74,3287.72,167495.02,534683.6,534683.6,5640,140,92,122,3,119,1270,40742.0,1196.39,0.019251,1.0723750478716456
2023-11-04,103771.5,2616.56,101154.94,301024.64,301024.64,2714,82,55,54,2,52,1264,21571.0,1233.6,0.025215,1.0723750478716456
2023-11-05,78527.03,392.95,78134.08,93088.04,93088.04,1395,51,37,42,5,37,801,10575.0,1532.04,0.005004,0.9649942050554471
2023-11-06,166546.88,923.92,165622.96,198650.52,198650.52,2269,81,61,61,3,58,1168,17794.0,2044.73,0.005548,0.9649942050554472
2023-11-07,203728.32,10272.27,193456.05,229015.89,229015.89,2047,139,104,102,0,102,1025,20870.0,1391.77,0.050421,0.9649942050554472
2023-11-08,140474.79,3623.29,136851.5,160948.73,160948.73,1329,93,61,84,6,78,769,18658.0,1471.52,0.025793,0.9649942050554471
2023-11-09,214444.89,3908.43,210536.46,261412.66,261412.66,1768,150,104,117,4,113,934,30167.0,1403.58,0.018226,0.9649942050554472
2023-11-10,198180.86,6401.36,191779.51,214818.41,214818.41,3090,70,50,52,3,49,1367,17770.0,2739.71,0.032301,0.9649942050554473
2023-11-11,32121.64,77.75,32043.89,39722.41,39722.41,500,25,18,17,0,17,390,3733.0,1281.76,0.002421,0.9649942050554472
2023-11-12,154754.95,11513.7,143241.25,128280.58,128280.58,1743,87,60,59,2,57,947,15724.0,1646.45,0.0744,0.9458057725233366
2023-11-13,265696.01,1096.28,264599.73,237326.0,237326.0,1556,63,38,30,2,28,828,15770.0,4200.0,0.004126,0.9458057725233365
2023-11-14,31552.59,292.52,31260.07,26177.17,26177.17,225,21,17,17,1,16,194,3097.0,1488.57,0.009271,0.9458057725233366
2023-11-15,69814.63,1527.18,68287.44,60008.8,60008.8,956,37,29,23,2,21,790,5795.0,1845.61,0.021875,0.9458057725233366
2023-11-16,86693.16,5819.29,80873.87,78066.73,78066.73,1156,42,28,38,0,38,821,8848.0,1925.57,0.067125,0.9458057725233365
2023-11-17,177806.34,3977.75,173828.59,170325.97,170325.97,1726,69,55,56,2,54,1017,20025.0,2519.25,0.022371,0.9458057725233364
2023-11-18,233325.64,7044.17,226281.47,211412.77,211412.77,1814,73,55,65,2,63,1016,23571.0,3099.75,0.03019,0.9458057725233368
2023-11-19,127903.6,6990.72,120912.88,142371.53,142371.53,1785,58,34,49,6,43,1033,17816.0,2084.7,0.054656,0.9438261268255417
2023-11-20,69037.36,276.55,68760.81,83776.57,83776.57,1089,51,36,48,4,44,649,8139.0,1348.25,0.004006,0.9438261268255418
2023-11-21,106945.87,1312.36,105633.51,125255.66,125255.66,1950,44,35,35,1,34,1097,12874.0,2400.76,0.012271,0.9438261268255418
2023-11-22,290750.65,3405.03,287345.62,366211.69,366211.69,1427,78,61,61,3,58,950,28731.0,3683.92,0.011711,0.9438261268255419
2023-11-23,104479.6,2709.9,101769.71,123958.69,123958.69,1787,59,47,49,4,45,1081,10706.0,1724.91,0.025937,0.943826126825542
2023-11-24,87991.97,358.51,87633.46,106572.77,106572.77,1437,50,37,47,4,43,951,10177.0,1752.67,0.004074,0.943826126825542
2023-11-25,215160.57,912.88,214247.69,251060.58,263613.79,1493,56,39,46,3,43,904,23173.0,3825.85,0.004243,0.9438261268255419
2023-11-26,60988.35,1027.65,59960.7,37417.96,39288.95,607,29,22,22,1,21,423,4107.0,2067.61,0.01685,1.2481145871827843
2023-11-27,260952.81,331.77,260621.03,151327.27,158894.51,2539,54,34,47,3,44,1211,13374.0,4826.32,0.001271,1.2481145871827841
2023-11-28,1044392.36,881752.13,162640.23,93236.39,97898.87,1425,48,28,33,5,28,894,157165.0,3388.34,0.844273,1.248114587182784
2023-11-29,236382.5,2804.81,233577.7,135193.65,135193.65,1395,40,29,35,2,33,950,17451.0,5839.44,0.011866,1.2481145871827843
2023-11-30,205352.92,3479.48,201873.44,109343.72,109343.72,1484,47,35,37,1,36,956,10537.0,4295.18,0.016944,1.2481145871827843
2023-12-01,296517.92,6283.03,290234.89,168714.73,168714.73,1583,61,41,50,2,48,985,15550.0,4757.95,0.021189,1.2481145871827843
2023-12-02,96767.06,1388.21,95378.86,55094.26,55094.26,860,30,17,27,1,26,572,5241.0,3179.3,0.014346,1.2481145871827843
2023-12-03,187527.03,2446.67,185080.36,131765.12,131765.12,1462,58,38,45,9,36,843,11993.0,3191.04,0.013047,1.012568467781753
2023-12-04,216265.68,13294.06,202971.62,147509.65,147509.65,1625,85,64,70,1,69,891,16344.0,2387.9,0.061471,1.012568467781753
2023-12-05,147094.82,2731.72,144363.11,102230.72,102230.72,1267,69,47,57,5,52,772,10981.0,2092.22,0.018571,1.0125684677817528
2023-12-06,188791.14,7614.71,181176.43,122195.14,122195.14,1525,68,47,63,4,59,878,11551.0,2664.36,0.040334,1.012568467781753
2023-12-07,145599.68,11318.17,134281.51,98992.06,98992.06,948,49,34,44,2,42,611,10496.0,2740.44,0.077735,1.0125684677817528
2023-12-08,50317.51,993.04,49324.48,34872.97,34872.97,705,25,16,22,4,18,488,3447.0,1972.98,0.019735,1.0125684677817528
2023-12-09,169412.49,8470.19,160942.3,115860.52,115860.52,1494,85,51,64,3,61,845,14227.0,1893.44,0.049997,1.012568467781753
2023-12-10,199798.07,4918.49,194879.57,152489.55,152489.55,1548,76,59,65,5,60,842,15948.0,2564.2,0.024617,0.9765229225048259
2023-12-11,151846.72,1164.75,150681.97,109199.98,109199.98,1377,69,42,58,12,46,796,9736.0,2183.8,0.007671,0.9765229225048258
2023-12-12,164454.33,746.9,163707.43,124642.15,124642.15,974,50,35,47,5,42,599,15755.0,3274.15,0.004542,0.9765229225048259
2023-12-13,166390.07,1219.55,165170.52,129409.95,129409.95,1198,58,37,42,7,35,743,12734.0,2847.77,0.007329,0.9765229225048259
2023-12-14,28395.64,0.0,28395.64,18790.81,18790.81,273,11,7,11,2,9,220,2036.0,2581.42,0.0,0.9765229225048258
2023-12-15,173959.45,2892.46,171066.99,137067.27,137067.27,1248,51,34,39,5,34,809,9353.0,3354.25,0.016627,0.9765229225048259
2023-12-16,147727.89,1158.01,146569.88,107751.76,107751.76,1211,51,36,42,4,38,765,10128.0,2873.92,0.007839,0.9765229225048259
2023-12-17,99415.62,0.0,99415.62,84793.57,84793.57,866,29,16,22,4,18,599,7124.0,3428.12,0.0,0.8979452029506053
2023-12-18,94396.97,7653.74,86743.23,72189.21,72189.21,767,63,46,56,3,53,528,12121.0,1376.88,0.08108,0.8979452029506053
2023-12-19,147947.92,7521.7,140426.22,116043.19,116043.19,939,84,54,66,1,65,658,11044.0,1671.74,0.05084,0.8979452029506052
2023-12-20,34907.47,1191.78,33715.69,29869.25,29869.25,610,24,16,21,2,19,430,2764.0,1404.82,0.034141,0.8979452029506053
2023-12-21,166295.39,1059.46,165235.94,142307.25,142307.25,1092,51,39,43,2,41,716,13606.0,3239.92,0.006371,0.8979452029506053
2023-12-22,262297.02,900.96,261396.06,215294.97,215294.97,1313,62,47,47,5,42,811,22689.0,4216.07,0.003435,0.8979452029506052
2023-12-23,152900.78,1475.69,151425.09,133228.45,133228.45,1180,68,43,56,6,50,697,16274.0,2226.84,0.009651,0.8979452029506052
2023-12-24,182975.08,78.08,182897.0,135131.77,135131.77,1698,71,55,50,5,45,875,14395.0,2576.01,0.000427,1.1738686432244128
2023-12-25,115668.84,1475.41,114193.42,85530.81,89807.33,833,56,36,47,5,42,604,9210.0,2039.17,0.012755,1.1738686432244128
2023-12-26,77328.94,382.88,76946.06,51295.42,53860.04,827,29,19,26,6,20,594,5221.0,2653.31,0.004951,1.1738686432244123
2023-12-27,257492.81,2011.98,255480.82,191395.52,200965.93,1369,47,33,41,4,37,811,21565.0,5435.76,0.007814,1.1738686432244125
2023-12-28,243194.13,1274.48,241919.64,174518.72,183244.99,1583,62,38,52,7,45,897,21919.0,3901.93,0.005241,1.1738686432244125
2023-12-29,187290.8,505.2,186785.6,140437.16,140437.16,1564,66,49,52,8,44,858,13754.0,2830.08,0.002697,1.1738686432244125
2023-12-30,169553.52,1076.65,168476.86,122471.15,122471.15,1285,64,52,57,7,50,781,11940.0,2632.45,0.00635,1.1738686432244123
2023-12-31,160418.4,22422.78,137995.63,95954.67,95954.67,970,51,33,44,3,41,593,11244.0,2705.8,0.139777,1.1238978612912136
2024-01-01,74506.31,254.14,74252.17,50967.64,50967.64,785,35,27,31,4,27,565,4834.0,2121.49,0.003411,1.1238978612912136
2024-01-02,153110.14,17.48,153092.65,108252.11,108252.11,1648,56,38,49,12,37,903,9837.0,2733.8,0.000114,1.1238978612912136
2024-01-03,200222.99,264.77,199958.22,132685.83,132685.83,1340,62,47,52,7,45,842,12124.0,3225.13,0.001322,1.1238978612912136
2024-01-04,157549.09,3229.24,154319.85,99846.0,99846.0,928,65,53,58,8,50,548,8696.0,2374.15,0.020497,1.1238978612912136
2024-01-05,298422.84,4100.85,294321.98,192339.03,192339.03,1359,67,51,60,5,55,798,20242.0,4392.87,0.013742,1.1238978612912136
2024-01-06,160787.93,248.77,160539.16,104097.98,104097.98,1085,51,46,38,6,32,714,13558.0,3147.83,0.001547,1.1238978612912136
2024-01-07,76258.11,2786.12,73471.99,52364.39,52364.39,833,35,29,28,3,25,519,5084.0,2099.2,0.036535,1.036066691034635
2024-01-08,249604.6,5476.5,244128.11,166131.04,166131.04,1940,97,75,71,8,63,1053,14182.0,2516.78,0.021941,1.0360666910346348
2024-01-09,189619.76,514.59,189105.17,133767.53,133767.53,1573,51,40,43,10,33,880,14552.0,3707.94,0.002714,1.0360666910346348
2024-01-10,173512.1,1040.9,172471.2,117801.96,117801.96,1242,58,43,51,4,47,759,11872.0,2973.64,0.005999,1.036066691034635
2024-01-11,202131.13,3727.64,198403.49,138766.45,138766.45,1118,82,67,68,9,59,670,16066.0,2419.55,0.018442,1.036066691034635
2024-01-12,174390.39,819.55,173570.84,118347.96,118347.96,942,56,44,45,9,36,607,10542.0,3099.48,0.0047,1.036066691034635
2024-01-13,31617.56,72.77,31544.79,22176.01,22176.01,522,17,14,16,2,14,417,2714.0,1855.58,0.002302,1.036066691034635
2024-01-14,140919.06,1005.6,139913.47,139210.63,139210.63,1087,60,48,49,5,44,685,16764.0,2331.89,0.007136,0.8901097766907291
2024-01-15,111085.95,1221.31,109864.64,106333.73,106333.73,1271,59,45,45,5,40,723,8988.0,1862.11,0.010994,0.8901097766907292
2024-01-16,122063.42,4132.07,117931.35,113266.15,113266.15,857,58,45,49,6,43,584,13212.0,2033.3,0.033852,0.8901097766907291
2024-01-17,212714.54,2215.72,210498.82,207647.97,207647.97,2051,83,67,71,11,60,1077,21098.0,2536.13,0.010416,0.8901097766907292
2024-01-18,146055.39,1438.42,144616.98,144074.01,144074.01,1313,70,49,51,12,39,767,14203.0,2065.96,0.009848,0.8901097766907293
2024-01-19,118307.22,985.06,117322.16,116085.25,116085.25,1420,64,49,57,10,47,860,14057.0,1833.16,0.008326,0.8901097766907293
2024-01-20,92137.82,2115.45,90022.37,89080.49,89080.49,1060,69,57,58,4,54,636,10400.0,1304.67,0.02296,0.8901097766907292
2024-01-21,134704.15,1035.45,133668.7,161329.29,161329.29,2332,57,47,42,7,35,1140,16604.0,2345.06,0.007687,0.9263775202470629
2024-01-22,99253.4,279.24,98974.16,125477.99,125477.99,1272,68,56,58,10,48,773,14364.0,1455.5,0.002813,0.9263775202470629
2024-01-23,156246.61,638.73,155607.88,196102.04,196102.04,1499,76,62,68,6,62,781,18220.0,2047.47,0.004088,0.9263775202470631
2024-01-24,132239.66,2440.09,129799.56,161948.56,161948.56,1361,65,56,51,6,45,820,14701.0,1996.92,0.018452,0.926377520247063
2024-01-25,41458.0,1208.05,40249.96,48592.86,51022.63,728,46,38,43,2,41,513,4615.0,875.0,0.029139,0.926377520247063
